ObjectID,GlobalID,Plot,Specify other.,% Living Plant Cover,% thatch cover,% Bare Ground,% Living natives,% Living non-natives,Thatch depth (inches),Date of last rain,Inches of last rain,Herbivory on natives,Herbivory on non natives,Number of animal burrows,Entered Species,Total percent cover,lat,lon,Coordinates,Elevation,Date and Time,notes,Your initials,CreationDate,Creator,EditDate,Editor,Soil Moisture,Control,Control,x,y
1,02405507-e98b-413f-b872-5f6dd4adaa4a,4B,,13,77,10,7,6,4.6,,,no,no,7,NaN,NaN,34.460155,-119.754175,34°27’37”N 119°45’15”W,390 feet,8/11/2020 10:06:00 PM,Visible remnants of tractor tires marks through the plot from Thomas Fire mitigation,SES,8/17/2020 5:02:08 PM,CIR_FieldTech1,12/19/2022 10:00:38 PM,ken_cir,,,,-119.754175,34.460155
2,3754f979-8d2e-4e68-bf9d-fc5c71bdb45a,4A,,20,15,65,19,1,1.6,,,yes,no,0,NaN,NaN,34.460036,-119.75438734,"34°27’36”N, 119°45’16”W",400,8/13/2020 4:52:00 PM,Most of the Stipa bunches have burned out centers from the Thomas Fire; tractor tire marks visible in ~25% of plot; unknown scat present; Stipa looks like it has been grazed in the recent past (sheep?),SES,8/17/2020 8:17:25 PM,CIR_FieldTech1,12/19/2022 9:57:43 PM,ken_cir,,,,-119.75438734,34.460036
3,67ced1a0-c6f0-4c00-a0b4-21e961f13fdb,4D,,42,38,20,41,1,3.15,,,no,no,14,NaN,NaN,34.460484,-119.754974,"34°27’38”N, 119°45’18”W",420,8/13/2020 6:26:00 PM,"Unknown scat present; Stipa with charred centers; old, collapsed burrows present",SES,8/17/2020 8:18:18 PM,CIR_FieldTech1,12/19/2022 9:55:43 PM,ken_cir,,,,-119.754974,34.460484
4,7de09f52-d741-4528-89e8-71c75ed467e2,4C,,7,43,50,4,3,1.85,,,yes,no,30,NaN,NaN,34.460172,-119.7549732,"34°27’36”N, 119°45’18”W",410,8/13/2020 6:00:00 PM,"There are many more than 30 burrows, but they have been abandoned/collapsed in",SES,8/17/2020 8:19:19 PM,CIR_FieldTech1,12/19/2022 9:53:41 PM,ken_cir,,,,-119.7549732,34.460172
5,7266fc53-23b5-4df3-915a-420af4d0ee00,6A,,16,20,64,11,5,1.5,,,yes,yes,17,NaN,NaN,34.460182,-119.755414,"34°27’37”N, 119°45’19”W",420,8/18/2020 8:42:00 PM,"Many more than 17 burrows present, but most have collapsed in",SES,8/19/2020 9:34:40 PM,CIR_FieldTech1,12/19/2022 9:47:11 PM,ken_cir,,,,-119.755414,34.460182
6,ab28f32c-f877-405f-8035-39eeb6065c55,6B,,19,61,20,18,1,1.4,,,yes,yes,11,NaN,NaN,34.460379,-119.7556361,"34°27’37”N, 119°45’20”W",430,8/18/2020 9:25:00 PM,"Visible hoof prints dried in the clay; more abandoned burrows; signs of more recent soil activity (i.e. fresh dirt piles, probably a gopher)",SES,8/19/2020 9:41:34 PM,CIR_FieldTech1,12/19/2022 9:45:36 PM,ken_cir,,,,-119.7556361,34.460379
7,4630f5d2-ffa7-4a89-8bc0-f0199fda4bd0,6D,,24,74,2,23,1,2.3,,,yes,no,3,NaN,NaN,34.46208,-119.7563008,"34°27’43”N, 119°45’23”W",480,8/18/2020 10:05:00 PM,Hoof prints in clay visible; multiple kinds of unknown scat present,SES,8/19/2020 9:49:06 PM,CIR_FieldTech1,12/19/2022 9:43:04 PM,ken_cir,,,,-119.7563008,34.46208
8,f64f6233-4a17-4b90-b044-ac98be73a818,6C,,45,30,25,38,7,1.55,,,no,yes,34,NaN,NaN,34.462588,-119.756182132,"34°27’45”N, 119°45’22”W",510,8/18/2020 10:55:00 PM,Unknown scat present,SES,8/19/2020 10:12:36 PM,CIR_FieldTech1,6/20/2024 11:37:30 PM,CIRArcGIS,,,yes,-119.756182132,34.462588
9,674cd3e1-e1ff-487e-9468-10c6f926185b,8B,,45,44,11,44,1,3.2,,,no,no,16,NaN,NaN,34.462127,-119.755432,"34°27’44”N, 119°45’20”W",470,8/18/2020 11:53:00 PM,Unknown scat present (I think sheep?),SES,8/19/2020 10:16:43 PM,CIR_FieldTech1,12/19/2022 9:23:03 PM,ken_cir,,,,-119.755432,34.462127
10,612e62f4-8fa8-4456-90c6-79c670250ca0,8C,,22,20,58,22,0,1.4,,,yes,no,7,NaN,NaN,34.461794,-119.7552585,"34°27’43”N, 119°45’19”W",460,8/19/2020 12:15:00 AM,"Much more Deinandra present, but ~90% passed; fresh gopher mounds present; tractor tire line visible through plot",SES,8/19/2020 10:20:11 PM,CIR_FieldTech1,12/19/2022 9:40:03 PM,ken_cir,,,,-119.7552585,34.461794
