ObjectID,GlobalID,Species name,Specify other.,% cover of,Presence negligible (less than 1%),repeat_text,ParentGlobalID,CreationDate,Creator,EditDate,Editor
1,ca627fe9-69d3-4bf1-9659-49ddeb3ecfdb,Deinandra_fasciculata,,5,no,NaN,02405507-e98b-413f-b872-5f6dd4adaa4a,8/17/2020 5:02:08 PM,CIR_FieldTech1,12/19/2022 10:00:38 PM,ken_cir
2,ef233796-4f2c-4b4d-a269-072b4b50507f,Plantago_lanceolata,,1,no,NaN,02405507-e98b-413f-b872-5f6dd4adaa4a,8/17/2020 5:02:08 PM,CIR_FieldTech1,12/19/2022 10:00:38 PM,ken_cir
3,446f9b32-fd17-468f-911d-81a7146a9b3a,Artemisia_californica,,,yes,NaN,02405507-e98b-413f-b872-5f6dd4adaa4a,8/17/2020 5:02:08 PM,CIR_FieldTech1,12/19/2022 10:00:38 PM,ken_cir
4,b5492287-49c7-43f6-8bd9-0d43cae8ec4b,other,Lactuca serriola (Prickly lettuce),3,no,NaN,02405507-e98b-413f-b872-5f6dd4adaa4a,8/17/2020 5:02:08 PM,CIR_FieldTech1,12/19/2022 10:00:38 PM,ken_cir
5,9ecf5ca1-ccf1-4aa1-96c8-a9841f7083f6,Croton_setigerus,,,yes,NaN,02405507-e98b-413f-b872-5f6dd4adaa4a,8/17/2020 5:02:08 PM,CIR_FieldTech1,12/19/2022 10:00:38 PM,ken_cir
6,78d9847b-cd9f-4fd0-aa53-054b3e9d4029,Isocoma_menziesii,,,yes,NaN,02405507-e98b-413f-b872-5f6dd4adaa4a,8/17/2020 5:02:08 PM,CIR_FieldTech1,12/19/2022 10:00:38 PM,ken_cir
7,f4190a83-a55e-447a-b6d3-23b7405c34d4,other,Helminthotheca echiodes (Bristly ox-tongue),,yes,NaN,02405507-e98b-413f-b872-5f6dd4adaa4a,8/17/2020 5:02:08 PM,CIR_FieldTech1,12/19/2022 10:00:38 PM,ken_cir
8,56748636-2068-4911-bbfc-371433fddf52,Stipa_pulchra,,1,no,NaN,02405507-e98b-413f-b872-5f6dd4adaa4a,8/17/2020 5:02:08 PM,CIR_FieldTech1,12/19/2022 10:00:38 PM,ken_cir
9,3dc0b396-aed5-4a6b-a4c7-d4d8e31e76f7,Erigeron_canadensis,,,yes,NaN,02405507-e98b-413f-b872-5f6dd4adaa4a,8/17/2020 5:02:08 PM,CIR_FieldTech1,12/19/2022 10:00:38 PM,ken_cir
10,39279182-6a26-4dc1-82b6-2b48622ec180,Erodium_cicutarium,,,yes,NaN,02405507-e98b-413f-b872-5f6dd4adaa4a,8/17/2020 5:02:08 PM,CIR_FieldTech1,12/19/2022 10:00:38 PM,ken_cir
